,x
ENSG00000227372.11_3,14
ENSG00000048707.13_3,14
ENSG00000175147.11_3,6
ENSG00000142634.12_2,14
ENSG00000173641.17_4,11
ENSG00000076864.19_3,11
ENSG00000070886.11_3,13
ENSG00000133216.16_3,14
ENSG00000116329.10_2,4
ENSG00000084628.9_2,11
ENSG00000142910.15_2,10
ENSG00000121905.9_2,10
ENSG00000116981.3_2,4
ENSG00000162374.16_4,11
ENSG00000177606.6_2,11
ENSG00000162616.8_3,14
ENSG00000117114.19_3,11
ENSG00000171517.5_2,13
ENSG00000143013.12_2,11
ENSG00000117500.12_2,14
ENSG00000117600.12_3,11
ENSG00000162631.18_2,3
ENSG00000116774.11_2,11
ENSG00000183508.4_2,11
ENSG00000134250.19_3,14
ENSG00000196154.11_3,13
ENSG00000162745.10_2,11
ENSG00000185630.18_3,14
ENSG00000143196.4_2,13
ENSG00000230630.4_4,14
ENSG00000116147.16_3,6
ENSG00000143333.6_2,14
ENSG00000000971.15_2,1
ENSG00000159388.5_2,6
ENSG00000117595.10_3,4
ENSG00000198570.5_2,11
ENSG00000117707.15_3,11
ENSG00000116574.5_2,11
ENSG00000116991.10_2,11
ENSG00000183780.12_3,11
ENSG00000168243.10_2,11
ENSG00000179456.10_2,14
ENSG00000162849.15_3,11
ENSG00000176887.6_3,11
ENSG00000134323.11_2,4
ENSG00000115884.10_2,11
ENSG00000119771.14_3,14
ENSG00000157851.16_2,11
ENSG00000171094.17_4,13
ENSG00000143891.16_3,14
ENSG00000138083.4_2,11
ENSG00000225156.2_3,13
ENSG00000170577.7_2,11
ENSG00000179915.22_3,6
ENSG00000055813.5_3,11
ENSG00000135636.13_2,10
ENSG00000144036.15_2,14
ENSG00000115297.10_2,14
ENSG00000144057.15_3,11
ENSG00000115665.8_2,13
ENSG00000163064.6_2,10
ENSG00000239402.3_2,12
ENSG00000222038.3_2,12
ENSG00000144228.8_3,11
ENSG00000144227.4_2,4
ENSG00000144278.14_3,11
ENSG00000163331.11_3,1
ENSG00000172318.5_2,11
ENSG00000128709.12_3,14
ENSG00000224189.6_3,14
ENSG00000272551.1_3,10
ENSG00000138449.10_3,14
ENSG00000115461.4_3,11
ENSG00000267034.1_3,3
ENSG00000237732.9_3,3
ENSG00000135919.12_3,11
ENSG00000135931.17_3,14
ENSG00000188042.7_3,14
ENSG00000168505.6_2,14
ENSG00000180914.10_2,11
ENSG00000132170.19_3,6
ENSG00000131386.17_2,3
ENSG00000144668.11_3,11
ENSG00000249992.1_2,14
ENSG00000001617.11_2,11
ENSG00000168237.17_2,14
ENSG00000242797.3_2,10
ENSG00000114251.14_3,14
ENSG00000244161.1_3,6
ENSG00000144821.9_2,6
ENSG00000144857.14_3,11
ENSG00000144847.12_3,6
ENSG00000074416.13_4,4
ENSG00000251011.5_3,8
ENSG00000114115.9_2,14
ENSG00000144891.17_3,3
ENSG00000138271.5_2,6
ENSG00000118849.9_2,6
ENSG00000283154.2_2,14
ENSG00000163590.13_2,11
ENSG00000136603.13_3,9
ENSG00000075711.20_3,14
ENSG00000163950.12_2,14
ENSG00000145147.19_4,14
ENSG00000091490.10_3,14
ENSG00000163394.5_2,8
ENSG00000121895.7_3,7
ENSG00000163694.14_2,9
ENSG00000064042.17_3,14
ENSG00000163293.11_3,9
ENSG00000134853.11_3,14
ENSG00000245067.6_4,3
ENSG00000150471.16_3,13
ENSG00000152784.15_2,11
ENSG00000182168.14_2,11
ENSG00000168785.7_2,14
ENSG00000180801.13_3,11
ENSG00000196159.11_2,11
ENSG00000138650.8_3,11
ENSG00000109458.8_3,11
ENSG00000059691.11_3,6
ENSG00000061918.12_2,13
ENSG00000198948.11_3,11
ENSG00000164107.8_2,11
ENSG00000237125.8_3,11
ENSG00000251216.1_3,13
ENSG00000164117.13_3,11
ENSG00000164118.12_3,11
ENSG00000215218.3_3,4
ENSG00000112902.11_3,13
ENSG00000113361.12_3,10
ENSG00000039560.13_2,14
ENSG00000113494.16_2,3
ENSG00000113594.9_2,14
ENSG00000145623.12_3,6
ENSG00000016082.14_2,11
ENSG00000134352.19_2,14
ENSG00000069020.18_3,14
ENSG00000145685.13_3,14
ENSG00000152495.10_2,11
ENSG00000171444.17_3,14
ENSG00000145779.7_3,11
ENSG00000113083.13_3,11
ENSG00000113721.13_2,14
ENSG00000211445.11_4,14
ENSG00000113140.10_3,11
ENSG00000113196.2_2,11
ENSG00000145934.16_3,4
ENSG00000170091.10_4,11
ENSG00000113749.7_3,4
ENSG00000113763.10_3,11
ENSG00000137285.9_2,11
ENSG00000007944.14_2,11
ENSG00000137364.4_2,14
ENSG00000168405.16_3,14
